date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,19108,19109,19108,19108,19109,19087,7732962,147762752256,73
1404-02-30,19086,19087,19086,19087,19087,19065,5518380,105327106123,70
1404-02-29,19065,19065,19064,19065,19065,19042,7065316,134697196634,78
1404-02-28,19042,19043,19042,19042,19043,19020,5588649,106419558581,60
1404-02-27,19020,19021,19020,19020,19021,18999,51708089,983500751881,167
1404-02-24,18998,18999,18998,18999,18998,18977,21922306,416499156207,120
1404-02-23,18976,18977,18976,18977,18977,18954,12993585,246578593861,99
1404-02-22,18954,18955,18954,18954,18955,18933,29535425,559823338328,122
1404-02-21,18932,18933,18932,18933,18933,18911,34582897,654753151957,132
1404-02-20,18911,18911,18910,18911,18911,18889,16074073,303971569318,104
1404-02-17,18888,18889,18888,18889,18889,18866,5372174,101474342008,82
1404-02-16,18866,18867,18866,18866,18866,18845,12872293,242850705306,86
1404-02-15,18844,18845,18844,18845,18845,18822,26063549,491155671189,108
1404-02-14,18823,18823,18822,18822,18823,18801,16949050,319016404626,120
1404-02-13,18800,18801,18800,18801,18801,18778,6346347,119317413969,65
1404-02-10,18778,18779,18778,18778,18779,18757,5600192,105162212327,77
1404-02-09,18757,18758,18757,18757,18758,18737,7916084,148484410732,81
1404-02-08,18736,18737,18736,18737,18737,18716,26486098,496269255545,125
1404-02-07,18715,18716,18715,18716,18716,18694,38178673,714549834292,143
1404-02-06,18694,18695,18694,18694,18695,18673,37680599,704401520112,163
1404-02-03,18672,18673,18672,18673,18673,18650,4074865,76089209582,77
1404-02-02,18650,18651,18650,18650,18651,18628,10509106,195997351729,98
1404-02-01,18628,18629,18628,18628,18629,18606,37988370,707649826048,188
1404-01-31,18606,18607,18606,18606,18606,18584,11338803,210970242734,89
1404-01-30,18584,18585,18584,18584,18585,18563,11807303,219427072210,102
1404-01-27,18563,18564,18563,18563,18563,18542,55306889,1026670999440,160
1404-01-26,18542,18543,18542,18542,18542,18521,41915244,777203399791,171
1404-01-25,18521,18522,18521,18521,18522,18501,7315423,135489911536,85
1404-01-24,18500,18501,18500,18501,18501,18479,12290417,227382247190,114
1404-01-23,18479,18480,18479,18479,18479,18458,26766423,494626352330,156
1404-01-20,18459,18459,18458,18458,18458,18437,14801494,273209668990,91
1404-01-19,18437,18438,18437,18437,18438,18416,30144606,555777268973,145
1404-01-18,18417,18417,18416,18416,18416,18395,71607773,1318744035648,235
1404-01-17,18396,18396,18395,18395,18396,18374,61873006,1138158209236,220
1404-01-16,18374,18375,18374,18374,18375,18354,8137899,149527843499,145
1404-01-10,18353,18355,18353,18354,18355,18294,9156255,168051305352,163
1404-01-09,18294,18294,18293,18294,18294,18250,12864499,235340062744,159
1404-01-06,18249,18250,18249,18250,18250,18214,6329015,115503414391,95
1404-01-05,18214,18215,18214,18214,18215,18182,7470216,136064683046,117
1403-12-28,18181,18182,18181,18182,18182,18120,61393733,1116259279841,226
1403-12-27,18122,18122,18119,18120,18121,18082,36101512,654154281282,186
1403-12-26,18082,18083,18081,18082,18082,18062,46027087,832240149589,184
1403-12-25,18061,18062,18061,18062,18062,18040,7684703,138800114471,114
1403-12-22,18040,18041,18040,18040,18041,18020,5693118,102706407806,111
1403-12-21,18019,18020,18019,18020,18020,17998,5347986,96369281579,90
1403-12-20,17998,17999,17998,17998,17999,17977,35684074,642243431062,172
1403-12-19,17977,17978,17977,17977,17978,17956,127575010,2293417770337,335
1403-12-18,17956,17965,17956,17956,17957,17935,64790149,1163372691026,196
1403-12-15,17935,17936,17935,17935,17935,17913,2186661,39218450629,70
1403-12-14,17913,17915,17913,17913,17913,17893,15275021,273628287471,113
1403-12-13,17893,17893,17892,17893,17893,17872,45305698,810654363451,178
1403-12-12,17871,17872,17871,17872,17872,17852,47580613,850359848848,188
1403-12-11,17850,17854,17850,17852,17851,17829,58579877,1045741907436,203
1403-12-08,17829,17830,17829,17829,17830,17807,44004906,784571491584,201
1403-12-07,17808,17808,17807,17807,17808,17787,130410451,2322220581291,382
1403-12-06,17786,17787,17786,17787,17787,17765,79920116,1421516054899,252
1403-12-05,17765,17766,17764,17765,17766,17744,123762314,2198639237167,342
1403-12-04,17744,17745,17743,17744,17744,17723,155105789,2752199228560,422
1403-12-01,17724,17724,17723,17723,17724,17701,136287441,2415437917449,342
1403-11-30,17701,17702,17701,17701,17702,17680,94984947,1681357091962,249
1403-11-29,17680,17681,17680,17680,17681,17659,29413678,520034335722,170
1403-11-28,17659,17660,17659,17659,17659,17639,1514270,26741050371,125
1403-11-27,17639,17640,17638,17639,17640,17599,23052532,406616392476,138
1403-11-23,17600,17600,17599,17599,17600,17573,89243631,1570628588316,261
1403-11-21,17573,17574,17573,17573,17574,17503,4365224,76711841633,144
1403-11-17,17504,17505,17503,17503,17505,17489,1733826,30347877098,104
1403-11-16,17489,17491,17488,17489,17490,17475,30324106,530341938450,162
1403-11-15,17476,17476,17475,17475,17475,17461,1731747,30263096854,90
1403-11-14,17461,17462,17461,17461,17462,17455,2048931,35777184358,106
1403-11-13,17447,17460,17446,17455,17448,17419,21290191,371619929375,204
1403-11-10,17419,17420,17418,17419,17420,17392,7720472,134482648875,104
1403-11-08,17392,17396,17391,17392,17396,17372,5049017,87812393879,155
1403-11-07,17364,17372,17363,17372,17364,17350,62058938,1078058995858,269
1403-11-06,17349,17352,17349,17350,17352,17322,1575430,27333139204,121
1403-11-03,17321,17324,17321,17322,17324,17295,1754179,30385275785,98
1403-11-02,17294,17297,17293,17295,17293,17283,1899022,32842910575,104
1403-11-01,17282,17288,17280,17283,17283,17266,2337895,40405584700,119
1403-10-30,17268,17269,17266,17266,17269,17254,2104027,36328729106,129
1403-10-29,17255,17256,17252,17254,17252,17226,4480054,77298064098,123
1403-10-26,17224,17229,17224,17226,17225,17185,4037750,69554815896,119
1403-10-24,17183,17190,17183,17185,17190,17157,532209,9145826395,78
1403-10-23,17142,17160,17141,17157,17142,17128,5088775,87308772975,88
1403-10-22,17128,17130,17126,17128,17129,17092,2210218,37855739211,82
1403-10-19,17092,17096,17090,17092,17096,17080,1276717,21822052591,99
1403-10-18,17080,17087,17078,17080,17083,17072,4167421,71181496070,89
1403-10-17,17071,17076,17071,17072,17071,17063,680577,11619097071,65
1403-10-16,17062,17066,17062,17063,17062,17057,930658,15879476081,78
1403-10-15,17041,17060,17039,17057,17043,17033,6993168,119281262566,97
1403-10-12,17030,17037,17029,17033,17034,16986,1610909,27438683059,132
1403-10-11,16985,16989,16985,16986,16985,16973,1779490,30225695378,81
1403-10-10,16973,16975,16972,16973,16973,16962,1314996,22319407243,103
1403-10-09,16962,16966,16960,16962,16963,16958,3861487,65496988248,103
1403-10-08,16945,16960,16945,16958,16950,16924,7250619,122953443066,97
1403-10-05,16912,16925,16908,16924,16915,16898,31203089,528094104100,139
1403-10-04,16895,16899,16895,16898,16896,16885,1684723,28467787030,108
1403-10-03,16886,16887,16883,16885,16884,16875,1197745,20224265317,96
1403-10-02,16871,16881,16871,16875,16881,16860,1892737,31940179316,109
1403-10-01,16859,16864,16856,16860,16864,16822,2027697,34187209404,124
1403-09-28,16819,16826,16819,16822,16826,16812,1572976,26460996384,115
1403-09-27,16808,16816,16808,16812,16815,16804,2194971,36901122841,88
1403-09-26,16804,16811,16801,16804,16805,16800,2419998,40665879762,120
1403-09-25,16800,16804,16798,16800,16798,16795,2283091,38356056828,147
1403-09-24,16767,16803,16764,16795,16793,16745,29207938,490547100831,234
1403-09-21,16735,16763,16732,16745,16738,16735,7455998,124847764746,174
1403-09-20,16716,16750,16715,16735,16724,16707,11945833,199915791150,128
1403-09-19,16706,16710,16705,16707,16710,16706,2823981,47179695943,136
1403-09-18,16691,16723,16690,16706,16693,16684,4615652,77108658279,118
1403-09-17,16679,16700,16678,16684,16700,16647,3344641,55800768838,132
1403-09-14,16641,16653,16641,16647,16652,16628,2520133,41953660713,143
1403-09-13,16632,16634,16626,16628,16634,16615,26953373,448183786958,216
1403-09-12,16614,16619,16612,16615,16615,16606,3712746,61685640077,153
1403-09-11,16606,16613,16601,16606,16607,16593,2897078,48108544406,94
1403-09-10,16590,16598,16589,16593,16598,16556,2464052,40885063299,154
1403-09-07,16553,16559,16553,16556,16559,16543,1437219,23794893380,110
1403-09-06,16539,16547,16539,16543,16547,16528,1363107,22549731841,143
1403-09-05,16527,16531,16526,16528,16530,16518,2252775,37233706250,154
1403-09-04,16515,16530,16512,16518,16520,16504,21828442,360572620559,172
1403-09-03,16502,16506,16502,16504,16505,16474,991533,16363939392,117
1403-08-30,16472,16476,16472,16474,16476,16453,755945,12453190995,72
1403-08-29,16456,16457,16451,16453,16457,16441,1359678,22371203987,122
1403-08-28,16440,16444,16439,16441,16444,16429,2202603,36212251012,122
1403-08-27,16427,16433,16426,16429,16433,16414,1308998,21505020127,103
1403-08-26,16414,16419,16413,16414,16419,16404,4543825,74583842673,118
1403-08-23,16400,16420,16399,16404,16400,16352,59093255,969372270693,204
1403-08-22,16364,16368,16347,16352,16366,16360,16335279,267119584127,150
1403-08-21,16356,16364,16356,16360,16363,16343,2623032,42913621266,88
1403-08-20,16343,16348,16343,16343,16343,16333,13358221,218315620918,120
1403-08-19,16328,16335,16328,16333,16335,16275,2942700,48062982875,97
1403-08-16,16275,16279,16275,16275,16279,16266,6376751,103783882117,87
1403-08-15,16263,16268,16263,16266,16267,16252,1802067,29311622718,69
1403-08-14,16250,16256,16249,16252,16252,16244,3373714,54830289693,97
